examine,id,members,lowalch,limit,value,highalch,icon,name,price,last,volume
"A large red and black blamish snail shell, looks protective.",3357,True,60,13000,150,90,Blamish red shell (pointed).png,Blamish red shell (pointed),694,694,5
"A large ochre coloured blamish snail shell, looks protective.",3359,True,60,13000,150,90,Blamish ochre shell (pointed).png,Blamish ochre shell (pointed),279,279,7
"A large blue coloured blamish snail shell, looks protective.",3361,True,60,13000,150,90,Blamish blue shell (pointed).png,Blamish blue shell (pointed),2875,2875,38
"The thin, slimy corpse of a deceased giant snail.",3363,True,2,13000,5,3,Thin snail.png,Thin snail,612,595,3376
"The lean, slimy corpse of a deceased giant snail.",3365,True,4,13000,10,6,Lean snail.png,Lean snail,2112,2112,180
"The fat, slimy corpse of a deceased giant snail.",3367,True,6,13000,15,9,Fat snail.png,Fat snail,1993,2020,796
A succulently slimy slice of sumptuous snail.,3369,True,4,6000,10,6,Thin snail meat.png,Thin snail meat,1027,1027,1145
A succulently slimy slice of sumptuous snail.,3371,True,8,6000,20,12,Lean snail meat.png,Lean snail meat,2554,2554,33
A succulently slimy slice of sumptuous snail.,3373,True,12,6000,30,18,Fat snail meat.png,Fat snail meat,2386,2386,574
A slime covered eel - yuck!,3379,True,1,13000,1,1,Raw slimy eel.png,Raw slimy eel,334,329,853
"A cooked slimy eel - not delicious, but pretty nutritious.",3381,True,1,6000,1,1,Cooked slimy eel.png,Cooked slimy eel,76,76,23
A wooden helmet.,3385,True,4000,70,10000,6000,Splitbark helm.png,Splitbark helm,6612,6612,685
Provides good protection.,3387,True,18000,70,45000,27000,Splitbark body.png,Splitbark body,30665,31530,1025
These should protect my legs.,3389,True,16000,70,40000,24000,Splitbark legs.png,Splitbark legs,23979,24127,1029
These should keep my hands safe.,3391,True,2000,70,5000,3000,Splitbark gauntlets.png,Splitbark gauntlets,2512,2512,815
Wooden foot protection.,3393,True,2000,70,5000,3000,Splitbark boots.png,Splitbark boots,8998,9111,220
The remains of a deadly shade.,3396,True,1,7500,1,1,Loar remains.png,Loar remains,148,148,15265
The remains of a deadly shade.,3398,True,1,7500,1,1,Phrin remains.png,Phrin remains,3025,3060,3312
The remains of a deadly shade.,3400,True,1,7500,1,1,Riyl remains.png,Riyl remains,2997,2885,3668
The remains of a deadly shade.,3402,True,1,7500,1,1,Asyn remains.png,Asyn remains,4146,4146,3022
The remains of a deadly shade.,3404,True,1,7500,1,1,Fiyr remains.png,Fiyr remains,6464,6199,8168
I need another ingredient to finish this potion.,3406,True,4,10000,11,6,Unfinished potion.png,Unfinished potion,304,291,482
4 doses serum 207 as described in Herbi Flax's diary.,3408,True,5,2000,14,8,Serum 207 (4).png,Serum 207 (4),8,8,3160
3 doses serum 207 as described in Herbi Flax's diary.,3410,True,5,2000,13,7,Serum 207 (3).png,Serum 207 (3),1,1,42779
2 doses serum 207 as described in Herbi Flax's diary.,3412,True,5,2000,13,7,Serum 207 (2).png,Serum 207 (2),3,3,18
1 dose serum 207 as described in Herbi Flax's diary.,3414,True,4,2000,11,6,Serum 207 (1).png,Serum 207 (1),1,1,118
A well carved limestone brick.,3420,True,8,10000,20,12,Limestone brick.png,Limestone brick,225,237,32344
4 doses of olive oil.,3422,True,8,10000,22,13,Olive oil(4).png,Olive oil(4),47,47,68294
3 doses of olive oil.,3424,True,8,10000,20,12,Olive oil(3).png,Olive oil(3),48,48,6
2 doses of olive oil.,3426,True,6,10000,17,10,Olive oil(2).png,Olive oil(2),33,33,2
1 dose of olive oil.,3428,True,5,10000,14,8,Olive oil(1).png,Olive oil(1),22,22,8
4 doses of sacred Oil.,3430,True,40,2000,100,60,Sacred oil(4).png,Sacred oil(4),3091,3091,87069
3 doses of sacred Oil.,3432,True,36,2000,90,54,Sacred oil(3).png,Sacred oil(3),2464,2464,27
2 doses of sacred Oil.,3434,True,30,2000,75,45,Sacred oil(2).png,Sacred oil(2),1269,1269,92
1 dose of sacred Oil.,3436,True,24,2000,60,36,Sacred oil(1).png,Sacred oil(1),690,665,24
Logs prepared with sacred oil for a funeral pyre.,3438,True,3,11000,8,4,Pyre logs.png,Pyre logs,1951,1951,4296
Oak logs prepared with sacred oil for a funeral pyre.,3440,True,16,11000,40,24,Oak pyre logs.png,Oak pyre logs,1867,1867,2541
Willow logs prepared with sacred oil for a funeral pyre.,3442,True,32,11000,80,48,Willow pyre logs.png,Willow pyre logs,3073,3073,1688
Maple logs prepared with sacred oil for a funeral pyre.,3444,True,64,11000,160,96,Maple pyre logs.png,Maple pyre logs,2801,2801,2091
Yew logs prepared with sacred oil for a funeral pyre.,3446,True,128,11000,320,192,Yew pyre logs.png,Yew pyre logs,3238,3238,3493
Magic logs prepared with sacred oil for a funeral pyre.,3448,True,256,11000,640,384,Magic pyre logs.png,Magic pyre logs,4317,4178,9673
Amazingly untouched by time.,3470,True,200,11000,500,300,Fine cloth.png,Fine cloth,7457,7301,3612
Black plateskirt with trim.,3472,False,768,8,1920,1152,Black plateskirt (t).png,Black plateskirt (t),3591,3521,32
Black plateskirt with gold trim.,3473,False,768,8,1920,1152,Black plateskirt (g).png,Black plateskirt (g),10490,10490,56
Adamant plateskirt with trim.,3474,False,2560,8,6400,3840,Adamant plateskirt (t).png,Adamant plateskirt (t),3600,3537,92
Adamant plateskirt with gold trim.,3475,False,2560,8,6400,3840,Adamant plateskirt (g).png,Adamant plateskirt (g),3509,3482,126
Rune plateskirt with gold trim.,3476,False,25600,8,64000,38400,Rune plateskirt (g).png,Rune plateskirt (g),38103,38317,87
Rune plateskirt with trim.,3477,False,25600,8,64000,38400,Rune plateskirt (t).png,Rune plateskirt (t),38391,38055,86
Rune plateskirt in the colours of Zamorak.,3478,False,25600,8,64000,38400,Zamorak plateskirt.png,Zamorak plateskirt,38426,38426,63
Rune plateskirt in the colours of Saradomin.,3479,False,25600,8,64000,38400,Saradomin plateskirt.png,Saradomin plateskirt,42046,42046,147
Rune plateskirt in the colours of Guthix.,3480,False,25600,8,64000,38400,Guthix plateskirt.png,Guthix plateskirt,37985,37985,100
Rune platebody with gold plate.,3481,False,26000,8,65000,39000,Gilded platebody.png,Gilded platebody,7075909,7109062,57
Rune platelegs with gold plate.,3483,False,25600,8,64000,38400,Gilded platelegs.png,Gilded platelegs,6837171,6775409,77
Rune plateskirt with gold plate.,3485,False,25600,8,64000,38400,Gilded plateskirt.png,Gilded plateskirt,1487341,1487341,57
Rune full helmet with gold plate.,3486,False,14080,8,35200,21120,Gilded full helm.png,Gilded full helm,9030755,9144951,66
Rune kiteshield with gold plate.,3488,False,21760,8,54400,32640,Gilded kiteshield.png,Gilded kiteshield,5522032,5512671,47
An exquisitely shaped tool specially designed for fixing temples.,3678,True,4000,40,10000,6000,Flamtaer hammer.png,Flamtaer hammer,5497,5378,840
This helmet is worn by archers.,3749,True,24000,70,60000,36000,Archer helm.png,Archer helm,44811,44542,2110
This helmet is worn by berserkers.,3751,True,24000,70,60000,36000,Berserker helm.png,Berserker helm,80850,80724,2645
This helmet is worn by warriors.,3753,True,24000,70,60000,36000,Warrior helm.png,Warrior helm,40324,40805,196
This helmet is worn by farseers.,3755,True,24000,70,60000,36000,Farseer helm.png,Farseer helm,38011,39087,536
The latest fashion in Rellekka.,3759,True,100,150,250,150,Fremennik cyan cloak.png,Fremennik cyan cloak,980,980,4
The latest fashion in Rellekka.,3761,True,100,150,250,150,Fremennik brown cloak.png,Fremennik brown cloak,34,34,31
The latest fashion in Rellekka.,3763,True,100,150,250,150,Fremennik blue cloak.png,Fremennik blue cloak,783,783,28
The latest fashion in Rellekka.,3765,True,100,150,250,150,Fremennik green cloak.png,Fremennik green cloak,1070,1070,9
The latest in Fremennik fashion.,3767,True,100,150,250,150,Fremennik brown shirt.png,Fremennik brown shirt,58,58,7
The latest in Fremennik fashion.,3769,True,100,150,250,150,Fremennik grey shirt.png,Fremennik grey shirt,510,510,2
The latest in Fremennik fashion.,3771,True,100,150,250,150,Fremennik beige shirt.png,Fremennik beige shirt,532,532,3
The latest in Fremennik fashion.,3773,True,100,150,250,150,Fremennik red shirt.png,Fremennik red shirt,640,640,9
The latest in Fremennik fashion.,3775,True,100,150,250,150,Fremennik blue shirt.png,Fremennik blue shirt,829,829,5
The latest fashion in Rellekka.,3777,True,100,150,250,150,Fremennik red cloak.png,Fremennik red cloak,1407,1396,43
The latest fashion in Rellekka.,3779,True,100,150,250,150,Fremennik grey cloak.png,Fremennik grey cloak,894,894,4
The latest fashion in Rellekka.,3781,True,100,150,250,150,Fremennik yellow cloak.png,Fremennik yellow cloak,718,718,12
The latest fashion in Rellekka.,3783,True,100,150,250,150,Fremennik teal cloak.png,Fremennik teal cloak,640,640,15
The latest fashion in Rellekka.,3785,True,100,150,250,150,Fremennik purple cloak.png,Fremennik purple cloak,89,89,17
The latest fashion in Rellekka.,3787,True,100,150,250,150,Fremennik pink cloak.png,Fremennik pink cloak,1062,1062,9
The latest fashion in Rellekka.,3789,True,100,150,250,150,Fremennik black cloak.png,Fremennik black cloak,2974,3101,270
Very stylish!,3791,True,200,150,500,300,Fremennik boots.png,Fremennik boots,282,280,344
The latest fashion in Rellekka.,3793,True,200,150,500,300,Fremennik robe.png,Fremennik robe,684,684,13
The latest fashion in Rellekka.,3795,True,200,150,500,300,Fremennik skirt.png,Fremennik skirt,552,552,2
A silly pointed hat.,3797,True,200,150,500,300,Fremennik hat.png,Fremennik hat,1533,1533,141
These will keep my hands warm!,3799,True,200,150,500,300,Fremennik gloves.png,Fremennik gloves,220,220,234
A lot of beer in a barrel.,3801,True,100,2000,250,150,Keg of beer.png,Keg of beer,736,736,12231
Frothy and alcoholic.,3803,True,8,2000,20,12,Beer tankard.png,Beer tankard,266,266,19
This seems to have been torn from a book...,3827,True,80,5,200,120,Saradomin page 1.png,Saradomin page 1,1031,996,434
This seems to have been torn from a book...,3828,True,80,5,200,120,Saradomin page 2.png,Saradomin page 2,1102,1111,421
This seems to have been torn from a book...,3829,True,80,5,200,120,Saradomin page 3.png,Saradomin page 3,1180,1218,594
This seems to have been torn from a book...,3830,True,80,5,200,120,Saradomin page 4.png,Saradomin page 4,1111,1117,397
This seems to have been torn from a book...,3831,True,80,5,200,120,Zamorak page 1.png,Zamorak page 1,8328,8239,513
This seems to have been torn from a book...,3832,True,80,5,200,120,Zamorak page 2.png,Zamorak page 2,7088,7081,562
This seems to have been torn from a book...,3833,True,80,5,200,120,Zamorak page 3.png,Zamorak page 3,5887,5813,529
This seems to have been torn from a book...,3834,True,80,5,200,120,Zamorak page 4.png,Zamorak page 4,7054,6971,538
This seems to have been torn from a book...,3835,True,80,5,200,120,Guthix page 1.png,Guthix page 1,2018,2037,453
This seems to have been torn from a book...,3836,True,80,5,200,120,Guthix page 2.png,Guthix page 2,1969,1946,445
This seems to have been torn from a book...,3837,True,80,5,200,120,Guthix page 3.png,Guthix page 3,1895,1948,656
This seems to have been torn from a book...,3838,True,80,5,200,120,Guthix page 4.png,Guthix page 4,1826,1820,399
An enchanted necklace.,3853,True,420,10000,1050,630,Games necklace(8).png,Games necklace(8),713,726,132545
These are monkey nuts. Yummy.,4012,True,1,6000,3,1,Monkey nuts.png,Monkey nuts,212,212,61350
It's a monkey bar. It looks highly nutritious.,4014,True,20,6000,50,30,Monkey bar.png,Monkey bar,490,490,683
It's a bowl full of mushy banana.,4016,True,120,6000,300,180,Banana stew.png,Banana stew,33,33,60
These look pretty heavy.,4087,True,108000,70,270000,162000,Dragon platelegs.png,Dragon platelegs,161390,161452,27475
A magical hat.,4089,True,6000,125,15000,9000,Mystic hat.png,Mystic hat,15294,15197,2616
The upper half of a magical robe.,4091,True,48000,125,120000,72000,Mystic robe top.png,Mystic robe top,71604,71605,9071
The lower half of a magical robe.,4093,True,32000,125,80000,48000,Mystic robe bottom.png,Mystic robe bottom,47602,47611,9388
Magical gloves.,4095,True,4000,125,10000,6000,Mystic gloves.png,Mystic gloves,5690,5623,2920
Magical boots.,4097,True,4000,125,10000,6000,Mystic boots.png,Mystic boots,5994,6124,7436
A dark magical hat.,4099,True,6000,70,15000,9000,Mystic hat (dark).png,Mystic hat (dark),72454,72454,259
The upper half of a dark magical robe.,4101,True,48000,70,120000,72000,Mystic robe top (dark).png,Mystic robe top (dark),72944,72492,2958
The lower half of a dark magical robe.,4103,True,32000,70,80000,48000,Mystic robe bottom (dark).png,Mystic robe bottom (dark),49502,49421,2970
Dark magical gloves.,4105,True,4000,70,10000,6000,Mystic gloves (dark).png,Mystic gloves (dark),5899,5899,267
Dark magical boots.,4107,True,4000,70,10000,6000,Mystic boots (dark).png,Mystic boots (dark),91066,91066,324
A bright magical hat.,4109,True,6000,70,15000,9000,Mystic hat (light).png,Mystic hat (light),8720,8698,434
The upper half of a bright magical robe.,4111,True,48000,70,120000,72000,Mystic robe top (light).png,Mystic robe top (light),71691,71557,854
The lower half of a bright magical robe.,4113,True,32000,70,80000,48000,Mystic robe bottom (light).png,Mystic robe bottom (light),47671,47926,782
Bright magical gloves.,4115,True,4000,70,10000,6000,Mystic gloves (light).png,Mystic gloves (light),5772,5772,129
Bright magical boots.,4117,True,4000,70,10000,6000,Mystic boots (light).png,Mystic boots (light),10464,10282,397
These will protect my feet.,4119,True,9,125,24,14,Bronze boots.png,Bronze boots,765,743,103
These will protect my feet.,4121,True,33,125,84,50,Iron boots.png,Iron boots,5466,5406,781
These will protect my feet.,4123,True,120,125,300,180,Steel boots.png,Steel boots,96,96,796
These will protect my feet.,4125,True,230,125,576,345,Black boots.png,Black boots,183,183,1152
These will protect my feet.,4127,True,312,125,780,468,Mithril boots.png,Mithril boots,689,659,899
These will protect my feet.,4129,True,768,125,1920,1152,Adamant boots.png,Adamant boots,1239,1180,1059
These will protect my feet.,4131,True,5000,70,12500,7500,Rune boots.png,Rune boots,7389,7386,7719
A weapon from the Abyss.,4151,True,48000,70,120001,72000,Abyssal whip.png,Abyssal whip,1341193,1355404,6290
Simplicity is the best weapon.,4153,True,20000,70,50000,30000,Granite maul.png,Granite maul,552674,532997,9621
I can just about see things in this shield's reflection.,4156,True,2000,40,5000,3000,Mirror shield.png,Mirror shield,5377,5435,551
A bag of salt.,4161,True,4,8000,10,6,Bag of salt.png,Bag of salt,15,15,14513
I can even smash stone with this.,4162,True,200,40,500,300,Rock hammer.png,Rock hammer,854,850,214
Stops me breathing in too much dust.,4164,True,80,70,200,120,Facemask.png,Facemask,521,515,386
These will protect my ears from loud noise.,4166,True,80,70,200,120,Earmuffs.png,Earmuffs,353,359,227
Protects me from any bad smells.,4168,True,80,70,200,120,Nose peg.png,Nose peg,624,629,321
An old and magical staff.,4170,True,8400,70,21000,12600,Slayer's staff.png,Slayer's staff,22044,22044,204
A seed to be sung into the finest crystal weapons.,4207,True,1,70,1,1,Crystal weapon seed.png,Crystal weapon seed,315767,327534,3122
"The label says 'Vivid Crimson', but it looks pink to me!",4298,True,30,15,75,45,Ham shirt.png,Ham shirt,242,249,769
"The label says 'Vivid Crimson', but it looks pink to me!",4300,True,30,15,75,45,Ham robe.png,Ham robe,1077,1098,936
Light-weight head protection and eye shield.,4302,True,30,15,75,45,Ham hood.png,Ham hood,421,429,880
A HAM cape.,4304,True,30,15,75,45,Ham cloak.png,Ham cloak,2882,2802,1128
A badge for the HAM cult.,4306,True,30,15,75,45,Ham logo.png,Ham logo,2470,2400,1094
HAM gloves as worn by the Humans Against Monsters group.,4308,True,30,15,75,45,Ham gloves.png,Ham gloves,1894,1892,970
HAM boots as worn by the Humans Against Monsters group.,4310,True,30,15,75,45,Ham boots.png,Ham boots,4025,4021,1044
Ooohhh look at the pretty colours...,4315,False,20,150,50,30,Team-1 cape.png,Team-1 cape,1137,1137,222
Ooohhh look at the pretty colours...,4317,False,20,150,50,30,Team-2 cape.png,Team-2 cape,403,403,9
Ooohhh look at the pretty colours...,4319,False,20,150,50,30,Team-3 cape.png,Team-3 cape,216,216,37
Ooohhh look at the pretty colours...,4321,False,20,150,50,30,Team-4 cape.png,Team-4 cape,459,459,8
Ooohhh look at the pretty colours...,4323,False,20,150,50,30,Team-5 cape.png,Team-5 cape,461,461,73
Ooohhh look at the pretty colours...,4325,False,20,150,50,30,Team-6 cape.png,Team-6 cape,122,122,908
Ooohhh look at the pretty colours...,4327,False,20,150,50,30,Team-7 cape.png,Team-7 cape,353,353,916
Ooohhh look at the pretty colours...,4329,False,20,150,50,30,Team-8 cape.png,Team-8 cape,372,372,29
Ooohhh look at the pretty colours...,4331,False,20,150,50,30,Team-9 cape.png,Team-9 cape,62,62,362
Ooohhh look at the pretty colours...,4333,False,20,150,50,30,Team-10 cape.png,Team-10 cape,322,322,581
Ooohhh look at the pretty colours...,4335,False,20,150,50,30,Team-11 cape.png,Team-11 cape,808,808,45
Ooohhh look at the pretty colours...,4337,False,20,150,50,30,Team-12 cape.png,Team-12 cape,707,707,47
Ooohhh look at the pretty colours...,4339,False,20,150,50,30,Team-13 cape.png,Team-13 cape,314,314,178
Ooohhh look at the pretty colours...,4341,False,20,150,50,30,Team-14 cape.png,Team-14 cape,815,815,27
Ooohhh look at the pretty colours...,4343,False,20,150,50,30,Team-15 cape.png,Team-15 cape,1662,1662,333
Ooohhh look at the pretty colours...,4345,False,20,150,50,30,Team-16 cape.png,Team-16 cape,98,96,401
Ooohhh look at the pretty colours...,4347,False,20,150,50,30,Team-17 cape.png,Team-17 cape,361,361,507
Ooohhh look at the pretty colours...,4349,False,20,150,50,30,Team-18 cape.png,Team-18 cape,553,553,33
Ooohhh look at the pretty colours...,4351,False,20,150,50,30,Team-19 cape.png,Team-19 cape,410,410,1014
Ooohhh look at the pretty colours...,4353,False,20,150,50,30,Team-20 cape.png,Team-20 cape,361,361,368
Ooohhh look at the pretty colours...,4355,False,20,150,50,30,Team-21 cape.png,Team-21 cape,581,581,44
Ooohhh look at the pretty colours...,4357,False,20,150,50,30,Team-22 cape.png,Team-22 cape,683,683,194
Ooohhh look at the pretty colours...,4359,False,20,150,50,30,Team-23 cape.png,Team-23 cape,296,296,8
Ooohhh look at the pretty colours...,4361,False,20,150,50,30,Team-24 cape.png,Team-24 cape,812,812,34
Ooohhh look at the pretty colours...,4363,False,20,150,50,30,Team-25 cape.png,Team-25 cape,906,906,14
Ooohhh look at the pretty colours...,4365,False,20,150,50,30,Team-26 cape.png,Team-26 cape,25,25,310
Ooohhh look at the pretty colours...,4367,False,20,150,50,30,Team-27 cape.png,Team-27 cape,504,504,1919
Ooohhh look at the pretty colours...,4369,False,20,150,50,30,Team-28 cape.png,Team-28 cape,406,406,264
Ooohhh look at the pretty colours...,4371,False,20,150,50,30,Team-29 cape.png,Team-29 cape,131,131,191
Ooohhh look at the pretty colours...,4373,False,20,150,50,30,Team-30 cape.png,Team-30 cape,296,296,481
Ooohhh look at the pretty colours...,4375,False,20,150,50,30,Team-31 cape.png,Team-31 cape,405,405,7
Ooohhh look at the pretty colours...,4377,False,20,150,50,30,Team-32 cape.png,Team-32 cape,533,533,1200
Ooohhh look at the pretty colours...,4379,False,20,150,50,30,Team-33 cape.png,Team-33 cape,335,335,113
Ooohhh look at the pretty colours...,4381,False,20,150,50,30,Team-34 cape.png,Team-34 cape,605,605,7
Ooohhh look at the pretty colours...,4383,False,20,150,50,30,Team-35 cape.png,Team-35 cape,898,898,104
Ooohhh look at the pretty colours...,4385,False,20,150,50,30,Team-36 cape.png,Team-36 cape,14,14,165
Ooohhh look at the pretty colours...,4387,False,20,150,50,30,Team-37 cape.png,Team-37 cape,86,86,154
Ooohhh look at the pretty colours...,4389,False,20,150,50,30,Team-38 cape.png,Team-38 cape,330,330,82
Ooohhh look at the pretty colours...,4391,False,20,150,50,30,Team-39 cape.png,Team-39 cape,152,152,662
Ooohhh look at the pretty colours...,4393,False,20,150,50,30,Team-40 cape.png,Team-40 cape,428,428,531
Ooohhh look at the pretty colours...,4395,False,20,150,50,30,Team-41 cape.png,Team-41 cape,564,564,8
Ooohhh look at the pretty colours...,4397,False,20,150,50,30,Team-42 cape.png,Team-42 cape,614,614,14
Ooohhh look at the pretty colours...,4399,False,20,150,50,30,Team-43 cape.png,Team-43 cape,277,277,86
Ooohhh look at the pretty colours...,4401,False,20,150,50,30,Team-44 cape.png,Team-44 cape,611,611,41
Ooohhh look at the pretty colours...,4403,False,20,150,50,30,Team-45 cape.png,Team-45 cape,1463,1463,168
Ooohhh look at the pretty colours...,4405,False,20,150,50,30,Team-46 cape.png,Team-46 cape,107,104,665
Ooohhh look at the pretty colours...,4407,False,20,150,50,30,Team-47 cape.png,Team-47 cape,322,322,218
Ooohhh look at the pretty colours...,4409,False,20,150,50,30,Team-48 cape.png,Team-48 cape,598,598,452
Ooohhh look at the pretty colours...,4411,False,20,150,50,30,Team-49 cape.png,Team-49 cape,274,263,566
Ooohhh look at the pretty colours...,4413,False,20,150,50,30,Team-50 cape.png,Team-50 cape,328,328,2034
A cup of Guthix Rest.,4417,True,20,2000,50,30,Guthix rest(4).png,Guthix rest(4),2599,2721,99018
A cup of Guthix Rest.,4419,True,20,2000,50,30,Guthix rest(3).png,Guthix rest(3),1633,1633,65684
A cup of Guthix Rest.,4421,True,20,2000,50,30,Guthix rest(2).png,Guthix rest(2),1054,1003,523
A cup of Guthix Rest.,4423,True,20,2000,50,30,Guthix rest(1).png,Guthix rest(1),519,514,590
This is pretty well sealed.,4436,True,4,15,10,6,Airtight pot.png,Airtight pot,1233,1233,101
"This needs firing, then it should fit on a normal-sized pot.",4438,True,4,100,10,6,Unfired pot lid.png,Unfired pot lid,129,129,0
This should fit on a normal-sized pot.,4440,True,6,15,15,9,Pot lid.png,Pot lid,199,208,276
It's a bowl of hot water.,4456,True,4,13000,10,6,Bowl of hot water.png,Bowl of hot water,211,216,4197
A cup of water.,4458,True,4,13000,10,6,Cup of water.png,Cup of water,26,26,814
It's hot!,4460,True,4,13000,10,6,Cup of hot water.png,Cup of hot water,351,336,117418
This could feed a family of gnomes for a week!,4517,True,40,6000,100,60,Giant frog legs.png,Giant frog legs,5125,5125,354
Not the genie sort.,4522,True,11,40,28,16,Oil lamp.png,Oil lamp,1618,1618,129
An oil lamp with no oil in it.,4525,True,10,10000,25,15,Empty oil lamp.png,Empty oil lamp,3,3,24047
Put a candle in to complete it.,4527,True,4,10000,10,6,Empty candle lantern.png,Empty candle lantern,6,6,36529
A candle in a glass cage.,4529,True,6,40,15,9,Candle lantern (white).png,Candle lantern (white),734,734,169
A candle in a glass cage.,4532,True,6,100,15,9,Candle lantern (black).png,Candle lantern (black),10385,10385,109
Put oil in to complete it.,4535,True,48,10000,120,72,Empty oil lantern.png,Empty oil lantern,6,6,111
An unlit oil lantern.,4537,True,50,40,125,75,Oil lantern.png,Oil lantern,666,663,147
Add the glass to complete.,4540,True,36,10000,90,54,Oil lantern frame.png,Oil lantern frame,43,43,85
A roughly circular disc of glass.,4542,True,28,10000,70,42,Lantern lens.png,Lantern lens,13,13,1498202
You need to add a lens before you can use it.,4544,True,120,10000,300,180,Bullseye lantern (unf).png,Bullseye lantern (unf),408,411,1624
You need to add lamp oil before you can use it.,4546,True,160,10000,400,240,Bullseye lantern (empty).png,Bullseye lantern (empty),873,873,140
A sturdy steel lantern.,4548,True,168,10000,420,252,Bullseye lantern.png,Bullseye lantern,1984,1977,1514
You don't want to wear it inside-out.,4551,True,260,125,650,390,Spiny helmet.png,Spiny helmet,932,928,390
A black tipped spear.,4580,True,260,8,650,390,Black spear.png,Black spear,1932,1932,118
A poisoned black tipped spear.,4582,True,300,8,750,450,Black spear(p).png,Black spear(p),7339,7339,0
This looks pretty heavy.,4585,True,108000,70,270000,162000,Dragon plateskirt.png,Dragon plateskirt,161421,161441,17125
"A vicious, curved sword.",4587,True,40000,70,100000,60000,Dragon scimitar.png,Dragon scimitar,59619,59657,12816
Wear it on your head.,4591,True,1,15,1,1,Kharidian headpiece.png,Kharidian headpiece,255,268,214
Makes me itch.,4593,True,1,15,1,1,Fake beard.png,Fake beard,274,281,233
Makes my face itch.,4595,True,1,15,1,1,Karidian disguise.png,Karidian disguise,335,335,0
A handy little club made out of willow.,4600,True,240,125,600,360,Willow blackjack.png,Willow blackjack,138,138,59
A meaty and very hot kebab.,4608,True,1,15,3,1,Super kebab.png,Super kebab,765,765,9
A cheeky little lager.,4627,True,200,2000,500,300,Bandit's brew.png,Bandit's brew,1824,1921,1069
Finely ground garlic powder.,4668,True,4,15,10,6,Garlic powder.png,Garlic powder,300,290,510
A magical staff of ancient origin...,4675,True,40000,70,100000,60000,Ancient staff.png,Ancient staff,74104,72606,8412
One sheet of mummy wrap.,4684,True,12,15,30,18,Linen.png,Linen,1139,1142,296
It's a bucket of sap.,4687,True,12,15,30,18,Bucket of sap.png,Bucket of sap,394,385,1021
A little heap of salt.,4689,True,8,15,20,12,Pile of salt.png,Pile of salt,264,264,1
A combined Water and Fire Rune.,4694,True,8,18000,20,12,Steam rune.png,Steam rune,108,108,2279507
A combined Air and Water Rune.,4695,True,8,18000,20,12,Mist rune.png,Mist rune,116,111,2398886
A combined Air and Earth Rune.,4696,True,8,18000,20,12,Dust rune.png,Dust rune,9,9,12348543
A combined Air and Fire Rune.,4697,True,8,18000,20,12,Smoke rune.png,Smoke rune,48,46,6171180
A combined Earth and Water Rune.,4698,True,8,18000,20,12,Mud rune.png,Mud rune,112,111,2742776
A combined Earth and Fire Rune.,4699,True,8,18000,20,12,Lava rune.png,Lava rune,16,16,12904838
Ahrim the Blighted's leather hood.,4708,True,5200,15,13000,7800,Ahrim's hood.png,Ahrim's hood,269943,275855,716
Ahrim the Blighted's quarterstaff.,4710,True,34000,15,85000,51000,Ahrim's staff.png,Ahrim's staff,232144,233100,1410
Ahrim the Blighted's armoured robe top.,4712,True,20000,15,50000,30000,Ahrim's robetop.png,Ahrim's robetop,4478472,4519909,1364
Ahrim the Blighted's armoured robe skirt.,4714,True,18800,15,47000,28200,Ahrim's robeskirt.png,Ahrim's robeskirt,3336388,3385671,1364
Dharok the Wretched's helm.,4716,True,41200,15,103000,61800,Dharok's helm.png,Dharok's helm,422170,418256,588
Dharok the Wretched's greataxe.,4718,True,83200,15,208000,124800,Dharok's greataxe.png,Dharok's greataxe,2359955,2324675,624
Dharok the Wretched's platebody armour.,4720,True,112000,15,280000,168000,Dharok's platebody.png,Dharok's platebody,772531,755084,588
Dharok the Wretched's plate leg armour.,4722,True,110000,15,275000,165000,Dharok's platelegs.png,Dharok's platelegs,1212615,1204211,530
Guthan the Infested's helm.,4724,True,41200,15,103000,61800,Guthan's helm.png,Guthan's helm,240699,240632,276
Guthan the Infested's warspear.,4726,True,40000,15,100000,60000,Guthan's warspear.png,Guthan's warspear,177728,172472,251
Guthan the Infested's platebody armour.,4728,True,112000,15,280000,168000,Guthan's platebody.png,Guthan's platebody,375279,367292,238
Guthan the Infested's chainskirt.,4730,True,110000,15,275000,165000,Guthan's chainskirt.png,Guthan's chainskirt,284257,285684,293
Karil the Tainted's coif.,4732,True,5200,15,13000,7800,Karil's coif.png,Karil's coif,55621,55813,856
Karil the Tainted's repeating crossbow.,4734,True,64000,15,160000,96000,Karil's crossbow.png,Karil's crossbow,110265,113350,296
Karil the Tainted's leather body armour.,4736,True,20000,15,50000,30000,Karil's leathertop.png,Karil's leathertop,1959818,1957288,1352
Karil the Tainted's leather skirt.,4738,True,18800,15,47000,28200,Karil's leatherskirt.png,Karil's leatherskirt,933192,920959,1127
Must need a special type of crossbow to use this.,4740,True,20,11000,50,30,Bolt rack 5.png,Bolt rack,66,66,783054
Torag the Corrupted's helm.,4745,True,41200,15,103000,61800,Torag's helm.png,Torag's helm,174360,166459,422
Torag the Corrupted's twin hammers.,4747,True,64000,15,160000,96000,Torag's hammers.png,Torag's hammers,94621,93812,358
Torag the Corrupted's platebody armour.,4749,True,112000,15,280000,168000,Torag's platebody.png,Torag's platebody,240342,240043,399
